pc       (rd rd  wdata   ) (wen wadd     wdata    | radd    )
00000200 (03  gp 00031200) (000 00000000 00000000 | 00000000)
00000204 (03  gp 00030e38) (000 00000000 00000000 | 00000000)
00000208 (10  a0 00030648) (000 00000000 00000000 | 00000000)
0000020c (12  a2 00030670) (000 00000000 00000000 | 00000000)
00000210 (12  a2 00000028) (000 00000000 00000000 | 00000000)
00000214 (11  a1 00000000) (000 00000000 00000000 | 00000000)
00000218 (01  ra 0000021c) (000 00000000 00000000 | 00000000)
00000590 (06  t1 0000000f) (000 00000000 00000000 | 00000000)
00000594 (14  a4 00030648) (000 00000000 00000000 | 00000000)
0000059c (15  a5 00000008) (000 00000000 00000000 | 00000000)
00000640 (13  a3 00000020) (000 00000000 00000000 | 00000000)
00000644 (05  t0 00000644) (000 00000000 00000000 | 00000000)
00000648 (13  a3 00000664) (000 00000000 00000000 | 00000000)
0000064c (05  t0 0000021c) (000 00000000 00000000 | 00000000)
00000650 (01  ra 00000654) (000 00000000 00000000 | 00000000)
00000604 (00 000 00000000) (001 0003064f 00000000 | 00000000)
00000608 (00 000 00000000) (001 0003064e 00000000 | 00000000)
0000060c (00 000 00000000) (001 0003064d 00000000 | 00000000)
00000610 (00 000 00000000) (001 0003064c 00000000 | 00000000)
00000614 (00 000 00000000) (001 0003064b 00000000 | 00000000)
00000618 (00 000 00000000) (001 0003064a 00000000 | 00000000)
0000061c (00 000 00000000) (001 00030649 00000000 | 00000000)
00000620 (00 000 00000000) (001 00030648 00000000 | 00000000)
00000654 (01  ra 0000021c) (000 00000000 00000000 | 00000000)
00000658 (15  a5 fffffff8) (000 00000000 00000000 | 00000000)
0000065c (14  a4 00030650) (000 00000000 00000000 | 00000000)
00000660 (12  a2 00000020) (000 00000000 00000000 | 00000000)
000005a8 (13  a3 00000020) (000 00000000 00000000 | 00000000)
000005ac (12  a2 00000000) (000 00000000 00000000 | 00000000)
000005b0 (13  a3 00030670) (000 00000000 00000000 | 00000000)
000005b4 (00 000 00000000) (100 00030650 00000000 | 00000000)
000005b8 (00 000 00000000) (100 00030654 00000000 | 00000000)
000005bc (00 000 00000000) (100 00030658 00000000 | 00000000)
000005c0 (00 000 00000000) (100 0003065c 00000000 | 00000000)
000005c4 (14  a4 00030660) (000 00000000 00000000 | 00000000)
000005b4 (00 000 00000000) (100 00030660 00000000 | 00000000)
000005b8 (00 000 00000000) (100 00030664 00000000 | 00000000)
000005bc (00 000 00000000) (100 00030668 00000000 | 00000000)
000005c0 (00 000 00000000) (100 0003066c 00000000 | 00000000)
000005c4 (14  a4 00030670) (000 00000000 00000000 | 00000000)
0000021c (10  a0 0000021c) (000 00000000 00000000 | 00000000)
00000220 (10  a0 00000790) (000 00000000 00000000 | 00000000)
00000228 (10  a0 00000228) (000 00000000 00000000 | 00000000)
0000022c (10  a0 000007a4) (000 00000000 00000000 | 00000000)
00000230 (01  ra 00000234) (000 00000000 00000000 | 00000000)
